feature,delta_z
PG 20:4_18:1,-0.7806995768126656
PG 20:4_18:1,-0.63641209280515
PG 22:4_18:1,-0.18218915778984923
PG 22:5_18:1,-0.3075679516751356
PG 22:6_18:1,-0.08495094865489008
LPG 18:2_0:0,0.6318260548773822
PG 18:2_18:2,-0.08466246365914763
PG 19:1_18:2,-0.39539192612902974
PG 20:3_18:2,-0.3651273566100367
PG 20:4_18:2,-0.3734145193354
PG 22:4_18:2,-0.3758673088219118
PG 22:6_18:2,-0.3077975063231696
PG 22:6_20:3,-0.5705803560973063
LPG 20:4_0:0,-0.16758569791900796
PG 22:6_20:4,-0.8949750530115594
PG 22:6_22:4,-0.21352411705211616
LPG 22:6_0:0,0.24863123307287177
PG 22:6_22:6,-0.8458888092235612
LPI 16:0_0:0,0.39761163657563803
PI 16:0_16:0,-0.7487400367467749
PI 18:1_16:0,-1.4465775291311065
PI 18:2_16:0,-0.18810671973194457
PI 20:3_16:0,0.04984878485552602
PI 20:3_16:0,-0.42747573825845697
PI 20:4_16:0,-1.0200486216481728
PI 22:6_16:0,-0.6927276083155303
PI 20:4_16:1,-1.2843484266247578
PI 20:4_17:0,-0.6417809457296377
LPI 18:0_0:0,0.5107194060448297
PI 18:1_18:0,0.12788814596926606
PI 18:2_18:0,0.5033041957862114
PI 20:3_18:0,0.4173141365054215
PI 20:3_18:0,-0.09454019000847702
PI 20:4_18:0,-0.8530579852461988
PI 22:4_18:0,-0.17786990257912288
PI 22:5_18:0,-0.13858065400497072
PI 22:6_18:0,-0.7919458337638996
LPI 18:1_0:0,0.634363701993981
PI 18:1_18:1,0.36307230636371196
PI 18:2_18:1,0.48968813865387817
PI 20:3_18:1,0.11373851634176697
PI 20:3_18:1,-0.5892597548033367
PI 22:4_16:0,-0.5892597548033367
PI 20:4_18:1,-0.8615852850941523
PI 22:6_18:1,-0.6068491436982089
PI 20:4_18:2,-0.9990606415061118
PI 20:4_19:0,-0.40190886138073467
PI 20:4_20:1,0.36225596452864134
PI 22:5_18:0,0.36225596452864134
LPI 20:3_0:0,1.0401066568537944
PI 20:4_20:3,-1.1038896767898472
LPI 20:4_0:0,0.6158685365540193
PI 20:4_20:4,-0.9865174665110156
PI 22:6_20:4,-1.1985371343962836
LPI 22:6_0:0,0.44368420030306177
PI O-20:4_16:0,-0.48472835727006697
PI O-20:4_18:0,0.2240332825471834
PI P-18:0_16:0,-0.5462632201137095
PI P-20:4_18:0,-0.0596528828433171
PI P-22:4_18:0,-0.5184238379295841
PS 18:1_16:0,-0.7460545243606229
PS 18:2_16:0,-0.27454466946451267
PS 18:1_16:1,-0.27454466946451267
PS 20:3_16:0,-0.7922476220430488
PS 20:4_16:0,-0.8835289894757663
PS 22:6_16:0,-1.0596222127152233
PS 18:0_16:1,-0.8159289283187898
PS 18:1_18:0,-0.5746372941378088
PS 18:2_18:0,-0.1467644668594148
PS 20:1_18:0,-0.5296210632548872
PS 20:2_18:0,-0.5229559484538966
PS 20:3_18:0,-0.36178818255338696
PS 20:3_18:0,-0.6440283266331799
PS 20:4_18:0,-1.0422734278588708
PS 22:4_18:0,-1.3833324655115042
PS 22:4_18:0,-1.3803812026756384
PS 22:6_18:0,-1.4740790453370227
PS 24:4_18:0,-0.6216050499283019
LPS 18:1_0:0,0.8673005204252011
PS 18:1_18:1,-0.625205660580542
PS 18:2_18:1,-0.49783900611689297
PS 20:1_18:1,-0.26286484052809245
PS 20:4_18:1,-1.188163557606606
PS 22:6_18:1,-1.0151597708421283
PS 22:6_20:1,0.018391224880463346
PS 22:6_20:4,-1.4481870467154976
LPS 22:6_0:0,-0.0977842445214023
PS 22:6_22:6,-1.4152727374057084
None,0.2614371245155198
None,0.2817557435656144
